movie_title,genre,release_date,year,runtime,rating,number_of_voters,approval_index,budget,domestic_revenue,international_revenue,difference_of_revenue,indicator
Jurassic World: Dominion (2022),Sci-Fi,6/1/2022,2022,147,5.6,168517,4.826752648,165000000,376851080,1003775632,1215626712,Profit
Lightyear (2022),Action,6/15/2022,2022,105,6.1,108089,5.070175692,200000000,118307188,218768299,137075487,Profit
Lightyear (2022),Adventure,6/15/2022,2022,105,6.1,108089,5.070175692,200000000,118307188,218768299,137075487,Profit
Lightyear (2022),Animation,6/15/2022,2022,105,6.1,108089,5.070175692,200000000,118307188,218768299,137075487,Profit
"Lyle, Lyle, Crocodile (2022)",Adventure,10/6/2022,2022,106,6.1,6950,3.838550551,50000000,46888441,104013627,100902068,Profit
"Lyle, Lyle, Crocodile (2022)",Animation,10/6/2022,2022,106,6.1,6950,3.838550551,50000000,46888441,104013627,100902068,Profit
"Lyle, Lyle, Crocodile (2022)",Comedy,10/6/2022,2022,106,6.1,6950,3.838550551,50000000,46888441,104013627,100902068,Profit
Minions: The Rise of Gru (2022),Adventure,6/16/2022,2022,87,6.6,67324,5.266669994,80000000,369695210,940270567,1229965777,Profit
Minions: The Rise of Gru (2022),Animation,6/16/2022,2022,87,6.6,67324,5.266669994,80000000,369695210,940270567,1229965777,Profit
Minions: The Rise of Gru (2022),Comedy,6/16/2022,2022,87,6.6,67324,5.266669994,80000000,369695210,940270567,1229965777,Profit
Moonfall (2022),Action,2/3/2022,2022,130,5.1,83169,4.119046889,150000000,19060660,59053195,-71886145,Loss
Moonfall (2022),Adventure,2/3/2022,2022,130,5.1,83169,4.119046889,150000000,19060660,59053195,-71886145,Loss
Moonfall (2022),Sci-Fi,2/3/2022,2022,130,5.1,83169,4.119046889,150000000,19060660,59053195,-71886145,Loss
Morbius (2022),Action,3/30/2022,2022,104,5.2,130061,4.373464662,75000000,73865530,162759437,161624967,Profit
Morbius (2022),Adventure,3/30/2022,2022,104,5.2,130061,4.373464662,75000000,73865530,162759437,161624967,Profit
Morbius (2022),Horror,3/30/2022,2022,104,5.2,130061,4.373464662,75000000,73865530,162759437,161624967,Profit
Mrs. Harris Goes to Paris (2022),Comedy,7/15/2022,2022,115,7.1,13453,4.834445872,13000000,10433915,31231359,28665274,Profit
Mrs. Harris Goes to Paris (2022),Drama,7/15/2022,2022,115,7.1,13453,4.834445872,13000000,10433915,31231359,28665274,Profit
Nope (2022),Horror,7/21/2022,2022,130,6.9,196542,6.055951355,68000000,123277080,171172007,226449087,Profit
Nope (2022),Mystery,7/21/2022,2022,130,6.9,196542,6.055951355,68000000,123277080,171172007,226449087,Profit
Nope (2022),Sci-Fi,7/21/2022,2022,130,6.9,196542,6.055951355,68000000,123277080,171172007,226449087,Profit
Paws of Fury: The Legend of Hank (2022),Action,7/15/2022,2022,98,5.7,4774,3.420697382,45000000,17811382,40166138,12977520,Profit
Paws of Fury: The Legend of Hank (2022),Animation,7/15/2022,2022,98,5.7,4774,3.420697382,45000000,17811382,40166138,12977520,Profit
Paws of Fury: The Legend of Hank (2022),Comedy,7/15/2022,2022,98,5.7,4774,3.420697382,45000000,17811382,40166138,12977520,Profit
Scream (2022),Horror,1/12/2022,2022,114,6.3,118765,5.28439329,24000000,81641405,138874789,196516194,Profit
Scream (2022),Mystery,1/12/2022,2022,114,6.3,118765,5.28439329,24000000,81641405,138874789,196516194,Profit
Scream (2022),Thriller,1/12/2022,2022,114,6.3,118765,5.28439329,24000000,81641405,138874789,196516194,Profit
Smile (2022),Horror,9/28/2022,2022,115,6.6,100127,5.459413876,17000000,105935048,216049734,304984782,Profit
Smile (2022),Mystery,9/28/2022,2022,115,6.6,100127,5.459413876,17000000,105935048,216049734,304984782,Profit
Smile (2022),Thriller,9/28/2022,2022,115,6.6,100127,5.459413876,17000000,105935048,216049734,304984782,Profit
Sonic the Hedgehog 2 (2022),Action,3/30/2022,2022,122,6.5,69621,5.200919188,90000000,190872904,402407997,503280901,Profit
Sonic the Hedgehog 2 (2022),Adventure,3/30/2022,2022,122,6.5,69621,5.200919188,90000000,190872904,402407997,503280901,Profit
Sonic the Hedgehog 2 (2022),Comedy,3/30/2022,2022,122,6.5,69621,5.200919188,90000000,190872904,402407997,503280901,Profit
Strange World (2022),Action,11/22/2022,2022,102,5.6,33133,4.156598401,135000000,37968963,69532497,-27498540,Loss
Strange World (2022),Adventure,11/22/2022,2022,102,5.6,33133,4.156598401,135000000,37968963,69532497,-27498540,Loss
Strange World (2022),Animation,11/22/2022,2022,102,5.6,33133,4.156598401,135000000,37968963,69532497,-27498540,Loss
Terrifier 2 (2022),Horror,10/6/2022,2022,138,6.2,28194,4.542438238,250000,10640105,12791494,23181599,Profit
The 355 (2022),Action,1/6/2022,2022,122,5.5,31088,4.054239121,75000000,14570455,18902798,-41526747,Loss
The 355 (2022),Thriller,1/6/2022,2022,122,5.5,31088,4.054239121,75000000,14570455,18902798,-41526747,Loss
The Bad Guys (2022),Adventure,3/17/2022,2022,100,6.8,43752,5.21463725,70000000,97233630,250648674,277882304,Profit
The Bad Guys (2022),Animation,3/17/2022,2022,100,6.8,43752,5.21463725,70000000,97233630,250648674,277882304,Profit
The Bad Guys (2022),Comedy,3/17/2022,2022,100,6.8,43752,5.21463725,70000000,97233630,250648674,277882304,Profit
The Batman (2022),Action,3/1/2022,2022,176,7.8,666559,7.563912548,200000000,369345583,767531825,936877408,Profit
The Batman (2022),Crime,3/1/2022,2022,176,7.8,666559,7.563912548,200000000,369345583,767531825,936877408,Profit
The Batman (2022),Drama,3/1/2022,2022,176,7.8,666559,7.563912548,200000000,369345583,767531825,936877408,Profit
The Lost City (2022),Action,3/24/2022,2022,112,6.1,126478,5.140689466,74000000,105344029,182921990,214266019,Profit
The Lost City (2022),Adventure,3/24/2022,2022,112,6.1,126478,5.140689466,74000000,105344029,182921990,214266019,Profit
The Lost City (2022),Comedy,3/24/2022,2022,112,6.1,126478,5.140689466,74000000,105344029,182921990,214266019,Profit
The Menu (2022),Horror,11/16/2022,2022,107,7.2,206935,6.352282068,30000000,38501125,73098159,81599284,Profit
The Menu (2022),Thriller,11/16/2022,2022,107,7.2,206935,6.352282068,30000000,38501125,73098159,81599284,Profit
The Unbearable Weight of Massive Talent (2022),Action,4/1/2022,2022,107,7,95839,5.775734564,30000000,20300157,29116320,19416477,Profit
The Unbearable Weight of Massive Talent (2022),Comedy,4/1/2022,2022,107,7,95839,5.775734564,30000000,20300157,29116320,19416477,Profit
The Unbearable Weight of Massive Talent (2022),Crime,4/1/2022,2022,107,7,95839,5.775734564,30000000,20300157,29116320,19416477,Profit
The Woman King (2022),Action,9/15/2022,2022,135,6.7,47005,5.171365698,50000000,67328130,94374749,111702879,Profit
The Woman King (2022),Drama,9/15/2022,2022,135,6.7,47005,5.171365698,50000000,67328130,94374749,111702879,Profit
The Woman King (2022),History,9/15/2022,2022,135,6.7,47005,5.171365698,50000000,67328130,94374749,111702879,Profit
Thor: Love and Thunder (2022),Action,7/1/2022,2022,118,6.3,340924,5.773184359,250000000,343256830,760928081,854184911,Profit
Thor: Love and Thunder (2022),Adventure,7/1/2022,2022,118,6.3,340924,5.773184359,250000000,343256830,760928081,854184911,Profit
Thor: Love and Thunder (2022),Comedy,7/1/2022,2022,118,6.3,340924,5.773184359,250000000,343256830,760928081,854184911,Profit
Ticket to Paradise (2022),Comedy,9/8/2022,2022,104,6.2,38898,4.689247677,60000000,68275985,172072232,180348217,Profit
Ticket to Paradise (2022),Romance,9/8/2022,2022,104,6.2,38898,4.689247677,60000000,68275985,172072232,180348217,Profit
Top Gun: Maverick (2022),Action,5/20/2022,2022,130,8.3,514562,7.899179357,170000000,718732821,1484765287,2033498108,Profit
Top Gun: Maverick (2022),Drama,5/20/2022,2022,130,8.3,514562,7.899179357,170000000,718732821,1484765287,2033498108,Profit
Uncharted (2022),Action,2/10/2022,2022,116,6.3,216434,5.562571542,120000000,148648820,400689914,429338734,Profit
Uncharted (2022),Adventure,2/10/2022,2022,116,6.3,216434,5.562571542,120000000,148648820,400689914,429338734,Profit
Where the Crawdads Sing (2022),Drama,7/15/2022,2022,125,7.1,78598,5.756527493,24000000,90230760,136539552,202770312,Profit
Where the Crawdads Sing (2022),Mystery,7/15/2022,2022,125,7.1,78598,5.756527493,24000000,90230760,136539552,202770312,Profit
Where the Crawdads Sing (2022),Romance,7/15/2022,2022,125,7.1,78598,5.756527493,24000000,90230760,136539552,202770312,Profit
X (2022),Horror,3/17/2022,2022,105,6.6,110611,5.507769569,1000000,11769469,15131549,25901018,Profit
X (2022),Mystery,3/17/2022,2022,105,6.6,110611,5.507769569,1000000,11769469,15131549,25901018,Profit
X (2022),Thriller,3/17/2022,2022,105,6.6,110611,5.507769569,1000000,11769469,15131549,25901018,Profit
A Journal for Jordan (2021),Drama,12/25/2021,2021,131,5.9,2223,3.213558415,25000000,6545174,6682685,-11772141,Loss
A Mouthful of Air (2021),Drama,10/29/2021,2021,105,6,1894,3.199554238,2300000,269435,269435,-1761130,Loss
Black Widow (2021),Action,7/7/2021,2021,134,6.7,384380,6.207246444,200000000,183651655,379751131,363402786,Profit
Black Widow (2021),Adventure,7/7/2021,2021,134,6.7,384380,6.207246444,200000000,183651655,379751131,363402786,Profit
Black Widow (2021),Sci-Fi,7/7/2021,2021,134,6.7,384380,6.207246444,200000000,183651655,379751131,363402786,Profit
Bo Gia (2021),Comedy,5/28/2021,2021,128,6.7,905,3.224164113,1000000,350000,350000,-300000,Loss
Bo Gia (2021),Drama,5/28/2021,2021,128,6.7,905,3.224164113,1000000,350000,350000,-300000,Loss
Bo Gia (2021),Family,5/28/2021,2021,128,6.7,905,3.224164113,1000000,350000,350000,-300000,Loss
Chaos Walking (2021),Action,2/3/2021,2021,109,5.7,50230,4.40767341,100000000,13287908,27072169,-59639923,Loss
Chaos Walking (2021),Adventure,2/3/2021,2021,109,5.7,50230,4.40767341,100000000,13287908,27072169,-59639923,Loss
Chaos Walking (2021),Fantasy,2/3/2021,2021,109,5.7,50230,4.40767341,100000000,13287908,27072169,-59639923,Loss
Clifford the Big Red Dog (2021),Adventure,11/10/2021,2021,96,5.9,14218,4.019083721,64000000,48947356,78418101,63365457,Profit
Clifford the Big Red Dog (2021),Animation,11/10/2021,2021,96,5.9,14218,4.019083721,64000000,48947356,78418101,63365457,Profit
Clifford the Big Red Dog (2021),Comedy,11/10/2021,2021,96,5.9,14218,4.019083721,64000000,48947356,78418101,63365457,Profit
Dune (2021),Action,9/15/2021,2021,155,8,645897,7.742705032,165000000,108327830,392073640,335401470,Profit
Dune (2021),Adventure,9/15/2021,2021,155,8,645897,7.742705032,165000000,108327830,392073640,335401470,Profit
Dune (2021),Drama,9/15/2021,2021,155,8,645897,7.742705032,165000000,108327830,392073640,335401470,Profit
Encanto (2021),Animation,11/24/2021,2021,102,7.2,227400,6.402239713,150000000,96093622,231219744,177313366,Profit
Encanto (2021),Comedy,11/24/2021,2021,102,7.2,227400,6.402239713,150000000,96093622,231219744,177313366,Profit
Encanto (2021),Family,11/24/2021,2021,102,7.2,227400,6.402239713,150000000,96093622,231219744,177313366,Profit
Escape Room: Tournament of Champions (2021),Action,7/1/2021,2021,88,5.7,47565,4.384810905,15000000,25314753,53493064,63807817,Profit
Escape Room: Tournament of Champions (2021),Adventure,7/1/2021,2021,88,5.7,47565,4.384810905,15000000,25314753,53493064,63807817,Profit
